CODIGO;CIRCUITO;COORD_X;COORD_Y;CUSTTYPE;MAX_ESTRATO
C30260;CHI23L18;-75.5648369;5.094413436;RS2;7
C30261;CHI23L18;-75.56869706;5.091049753;RS2;8
M10049;MAN23L16;-75.53477659;5.039248316;RS3;1
M11600;PSO23L15;-75.50582639;5.058015545;RS3;88
M11605;PSO23L15;-75.50504677;5.056837595;RS3;54
M11766;PSO23L15;-75.50893302;5.057942641;CE;1
M12035;MAN23L13;-75.52989431;5.057441234;CE;1
M12039;MAN23L16;-75.52028007;5.060097122;RS1;62
M12043;MAN23L16;-75.52014848;5.059712618;RS1;103
M12093;MAN23L16;-75.52430119;5.05761185;RS3;29
M12101;MAN23L13;-75.52985553;5.057466078;CE;1
M12111;MAN23L13;-75.53016178;5.057949532;CE;1
M12113;MAN23L13;-75.53013705;5.057735232;OF;1
M12183;MAN23L16;-75.52450315;5.058729641;RS3;81
M12185;MAN23L16;-75.52428352;5.058214755;RS3;46
M12187;MAN23L16;-75.52410971;5.057764161;RS3;45
M12188;MAN23L16;-75.5243085;5.057044769;RS1;13
M12191;MAN23L16;-75.52355878;5.057150635;CE;2
M12193;MAN23L16;-75.52285773;5.058190663;RS1;60
M12194;MAN23L16;-75.52157038;5.058519719;CE;11
M12196;MAN23L16;-75.52070698;5.058754855;RS1;66
M12713;MAN23L16;-75.5244554;5.057209955;RS3;41
M12714;MAN23L16;-75.52460369;5.057401953;RS3;43
M12890;MAN23L16;-75.52057629;5.057243107;RS1;45
M12904;MAN23L16;-75.52411065;5.0577497;RS3;58
M12905;MAN23L13;-75.52983056;5.057438701;CE;1
M14002;AZA23L18;-75.50114841;5.046223755;RS3;52
M14003;AZA23L18;-75.50217268;5.047251338;RS3;52
M14004;AZA23L18;-75.50680027;5.042580962;RS3;27
M14007;AZA23L17;-75.50609291;5.04171958;AP6;1
M14021;AZA23L17;-75.50652002;5.050387798;GI;1
M14022;AZA23L18;-75.50779738;5.042535468;RS2;152
M14310;AZA23L17;-75.50648909;5.041534324;CE;1
M14351;AZA23L17;-75.5050028;5.051534855;RS2;30
M14355;AZA23L17;-75.50558228;5.050854677;RS1;33
M14357;AZA23L17;-75.50562501;5.050243147;AP6;1
M14358;AZA23L17;-75.50544724;5.050776607;RS2;81
M14366;AZA23L17;-75.50423116;5.050785404;RS2;62
M14368;AZA23L17;-75.50432829;5.050314758;RS2;32
M14369;AZA23L17;-75.50415999;5.050022288;RS2;55
M14379;AZA23L17;-75.50313733;5.050563081;RS2;89
M14383;AZA23L17;-75.5033231;5.05090975;RS2;89
M14386;AZA23L17;-75.50275163;5.049770274;RS2;106
M14387;AZA23L17;-75.50396003;5.049581573;RS2;72
M14391;AZA23L17;-75.5039386;5.049125925;RS3;57
M14396;AZA23L17;-75.50320569;5.048761655;RS3;80
M14399;AZA23L17;-75.50269383;5.048695325;RS3;68
